fiscal_year,sector,sector_name,capital_net_lending,financial_net_lending,capital_net_lending_ratio,financial_net_lending_ratio,capital_financial_difference
2020,financial_corporations,金融機関,6503.1,18943.4,1.2,3.4,-12440.300000000001
2020,general_government,一般政府,-55614.7,-51597.8,-10.0,-9.3,-4016.899999999994
2020,households,家計,37465.5,40659.0,6.8,7.3,-3193.5
2020,npish,対家計民間非営利団体,2016.3,2382.0,0.4,0.4,-365.70000000000005
2020,rest_of_world,海外部門,-16725.2,-16725.2,-3.0,-3.0,0.0
2021,nonfinancial_corporations,非金融法人企業,25104.5,15085.9,4.4,2.6,10018.6
2021,financial_corporations,金融機関,7500.7,7122.1,1.3,1.2,378.59999999999945
2021,general_government,一般政府,-35852.0,-35742.3,-6.2,-6.2,-109.69999999999709
2021,households,家計,19165.9,30090.4,3.3,5.2,-10924.5
2021,npish,対家計民間非営利団体,2235.9,3195.1,0.4,0.6,-959.1999999999998
2021,rest_of_world,海外部門,-19751.2,-19751.2,-3.4,-3.4,0.0
2022,nonfinancial_corporations,非金融法人企業,14810.9,11439.9,2.5,1.9,3371.0
2022,financial_corporations,金融機関,4899.5,-1937.9,0.8,-0.3,6837.4
2022,general_government,一般政府,-19958.8,-21413.7,-3.4,-3.6,1454.9000000000015
2022,households,家計,8746.4,17404.6,1.5,2.9,-8658.199999999999
2022,npish,対家計民間非営利団体,399.5,3428.4,0.1,0.6,-3028.9
2022,rest_of_world,海外部門,-8921.3,-8921.3,-1.5,-1.5,0.0
2023,nonfinancial_corporations,非金融法人企業,25530.3,19781.5,4.1,3.2,5748.799999999999
2023,financial_corporations,金融機関,7156.4,5968.3,1.2,1.0,1188.0999999999995
2023,general_government,一般政府,-11906.5,-14731.5,-1.9,-2.4,2825.0
2023,households,家計,5249.0,11895.5,0.8,1.9,-6646.5
2023,npish,対家計民間非営利団体,-1498.1,2957.7,-0.2,0.5,-4455.799999999999
2023,rest_of_world,海外部門,-25871.5,-25871.5,-4.2,-4.2,0.0
2024,nonfinancial_corporations,非金融法人企業,13856.2,23927.6,2.2,3.7,-10071.399999999998
2024,financial_corporations,金融機関,5220.1,3814.3,0.8,0.6,1405.8000000000002
2024,general_government,一般政府,-8911.9,-5757.4,-1.4,-0.9,-3154.5
2024,households,家計,12881.2,6026.3,2.0,0.9,6854.900000000001
2024,npish,対家計民間非営利団体,-237.1,1230.9,0.0,0.2,-1468.0
2024,rest_of_world,海外部門,-29241.7,-29241.7,-4.6,-4.6,0.0
