年,年齢,年齢区分,年収（万円）,年収（円）,月例賃金（円）,年間賞与相当額（円）,所得税（円）,住民税（円）,厚生年金（円）,健康保険（円）,介護保険（円）,雇用保険（円）,社会保険料総額（円）,控除総額（円）,名目手取り（円）,実効負担率（%）,手取り率（%）,手取り（100円あたり）,所得税（100円あたり）,住民税（100円あたり）,厚生年金（100円あたり）,健康保険（100円あたり）,介護保険（100円あたり）,雇用保険（100円あたり）,性別,扶養人数,給与所得のみ
1997,35,20～39歳,1500,15000000.0,971692.9353784529,3339684.7754585654,2064300.0,1191100.0,630888.0,498058.8,0.0,60000.0,1188946.8,4444346.8,10555653.2,29.628978666666665,70.37102133333333,70.37102133333333,13.761999999999999,7.940666666666667,4.20592,3.320392,0.0,0.4,男性,0,True
1997,45,40～64歳,200,2000000.0,129559.05805046037,445291.3033944754,63400.0,20700.0,133392.0,64083.6,0.0,8000.0,205475.6,289575.6,1710424.4,14.478779999999999,85.52122,85.52122,3.17,1.035,6.669600000000001,3.20418,0.0,0.4,男性,0,True
1997,45,40～64歳,250,2500000.0,161948.8225630755,556614.1292430942,92900.0,35400.0,169343.0,81349.8,0.0,10000.0,260692.8,388992.8,2111007.2,15.559712000000001,84.44028800000001,84.44028800000001,3.7159999999999997,1.4160000000000001,6.77372,3.253992,0.0,0.4,男性,0,True
1997,45,40～64歳,300,3000000.0,194338.58707569056,667936.9550917132,123000.0,50500.0,201129.0,96623.4,0.0,12000.0,309752.4,483252.4,2516747.6,16.108413333333335,83.89158666666667,83.89158666666667,4.1000000000000005,1.6833333333333331,6.704300000000001,3.2207799999999995,0.0,0.4,男性,0,True
1997,45,40～64歳,350,3500000.0,226728.35158830567,779259.7809403322,153100.0,65500.0,232916.0,111897.6,0.0,14000.0,358813.6,577413.6,2922586.4,16.497531428571428,83.50246857142857,83.50246857142857,4.3742857142857146,1.8714285714285714,6.654742857142858,3.197074285714286,0.0,0.4,男性,0,True
1997,45,40～64歳,400,4000000.0,259118.11610092074,890582.6067889509,185600.0,81800.0,275112.0,132151.2,0.0,16000.0,423263.2,690663.2,3309336.8,17.266579999999998,82.73342,82.73342,4.64,2.045,6.877800000000001,3.3037800000000006,0.0,0.4,男性,0,True
1997,45,40～64歳,450,4500000.0,291507.8806135359,1001905.4326375695,219200.0,110700.0,317309.0,152405.4,0.0,18000.0,487714.4,817614.4,3682385.6,18.16920888888889,81.83079111111111,81.83079111111111,4.8711111111111105,2.46,7.051311111111111,3.386786666666666,0.0,0.4,男性,0,True
1997,45,40～64歳,500,5000000.0,323897.645126151,1113228.2584861885,255800.0,147300.0,338686.0,162699.6,0.0,20000.0,521385.6,924485.6,4075514.4,18.489712,81.510288,81.510288,5.116,2.946,6.77372,3.253992,0.0,0.4,男性,0,True
1997,45,40～64歳,550,5500000.0,356287.409638766,1224551.0843348075,289400.0,180900.0,380882.0,182953.2,0.0,22000.0,585835.2,1056135.2,4443864.8,19.20245818181818,80.79754181818181,80.79754181818181,5.261818181818182,3.289090909090909,6.9251272727272735,3.326421818181818,0.0,0.4,男性,0,True
1997,45,40～64歳,600,6000000.0,388677.1741513811,1335873.9101834265,326000.0,217500.0,402259.0,193247.4,0.0,24000.0,619506.4,1163006.4,4836993.6,19.38344,80.61655999999999,80.61655999999999,5.433333333333333,3.6249999999999996,6.704316666666667,3.2207899999999996,0.0,0.4,男性,0,True
