分析ID,分析,レコード種別ID,レコード種別,年,期間,開始年,終了年,指標ID,指標,値,単位ID,単位,確認項目ID,確認項目,比較ケースID,比較ケース,備考,産業,事業所規模,就業形態,モデル年齢,モデル性別ID,モデル性別,住民税対応ID,住民税対応,CPI系列,基準年
take_home_wage,手取り賃金分析,annual_main,年次主系列,2020,,,,monthly_total_cash_earnings_yen,月間現金給与総額,318299.5833333333,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2021,,,,monthly_total_cash_earnings_yen,月間現金給与総額,319249.4166666667,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2022,,,,monthly_total_cash_earnings_yen,月間現金給与総額,325527.0,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2023,,,,monthly_total_cash_earnings_yen,月間現金給与総額,329417.1666666667,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2024,,,,monthly_total_cash_earnings_yen,月間現金給与総額,347642.9166666667,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2025,,,,monthly_total_cash_earnings_yen,月間現金給与総額,355636.1666666667,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,1990,,,,monthly_regular_earnings_yen,月例賃金,249431.16666666663,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,1991,,,,monthly_regular_earnings_yen,月例賃金,260722.91666666663,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,1992,,,,monthly_regular_earnings_yen,月例賃金,267485.5833333333,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,1993,,,,monthly_regular_earnings_yen,月例賃金,271167.5833333333,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,1994,,,,monthly_regular_earnings_yen,月例賃金,277159.5,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,1995,,,,monthly_regular_earnings_yen,月例賃金,281616.4166666667,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,1996,,,,monthly_regular_earnings_yen,月例賃金,284968.9166666667,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,1997,,,,monthly_regular_earnings_yen,月例賃金,288636.9166666667,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,1998,,,,monthly_regular_earnings_yen,月例賃金,287854.4166666667,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,1999,,,,monthly_regular_earnings_yen,月例賃金,281282.75,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2000,,,,monthly_regular_earnings_yen,月例賃金,283847.3333333333,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2001,,,,monthly_regular_earnings_yen,月例賃金,281884.0833333333,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2002,,,,monthly_regular_earnings_yen,月例賃金,278873.0833333333,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2003,,,,monthly_regular_earnings_yen,月例賃金,278748.25,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2004,,,,monthly_regular_earnings_yen,月例賃金,272360.9166666667,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2005,,,,monthly_regular_earnings_yen,月例賃金,273337.4166666667,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2006,,,,monthly_regular_earnings_yen,月例賃金,273141.0833333333,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2007,,,,monthly_regular_earnings_yen,月例賃金,269939.0,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2008,,,,monthly_regular_earnings_yen,月例賃金,270971.6666666667,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2009,,,,monthly_regular_earnings_yen,月例賃金,263087.3333333333,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2010,,,,monthly_regular_earnings_yen,月例賃金,263933.5833333333,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2011,,,,monthly_regular_earnings_yen,月例賃金,263046.25,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2012,,,,monthly_regular_earnings_yen,月例賃金,262541.25,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2013,,,,monthly_regular_earnings_yen,月例賃金,261747.41666666663,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2014,,,,monthly_regular_earnings_yen,月例賃金,262834.0,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2015,,,,monthly_regular_earnings_yen,月例賃金,260575.0,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2016,,,,monthly_regular_earnings_yen,月例賃金,261181.83333333337,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2017,,,,monthly_regular_earnings_yen,月例賃金,262401.5,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2018,,,,monthly_regular_earnings_yen,月例賃金,264566.0,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2019,,,,monthly_regular_earnings_yen,月例賃金,264170.8333333333,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2020,,,,monthly_regular_earnings_yen,月例賃金,262323.4166666667,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2021,,,,monthly_regular_earnings_yen,月例賃金,263737.25,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
